hexCode,vCode
B448DF1F3C,1FE311D009
F88E62AB35,05108FE86F
537A1BEF9B,C69F48D192
3A2EE64402,3FF46F370B
F0B2998A60,6A30141E63
E278C54A23,58F4A43F44
87051C5D56,B848C8EDD4
8207DE8A62,FB54D5586B
A7F355C0BA,9FD311DEAF
F21E97A01A,D9804B9027
37CA1D5F80,80AC0552D9
53E07B686B,5030E607AE
D7A2EF7A84,3900B76AA4
CF2E587B5B,9C65285D3B
BCF514881D,ADD3289E4F
4A8EAC423E,399E31EBD2
48777B789E,2A6C004AEA
09306074B8,1707F4441C
2F0BBCA29B,6BB57C3D1F
F68A56B660,D6611B4E4C
D8B4A9A4FA,145CB726D6
7B09EE81BA,EBC67C0747
7268A318B7,C91CF59993
8206196CD6,F52B97C7AD
7F3B6F1A67,F9D6801731
171BA9435E,27E0622093
708451671,6270216BB8
EDE378C2F2,386E54D889
339BC1138F,E46A674437
94C56464B7,8119CD5AB6
862B92F233,35965E76B4
A356EEEA1E,55C2F93310
6CE4AE516A,E2EFDCD84A
5C80D0D79A,9C79B654A4
C5585CC696,A60CD5FF82
66DC8EEF4C,55FF2723B9
3853A73CC1,47D29D75C7
D4CB247389,2EA479EC3F
5E9F444D8A,A3C02D15A5
8B06140076,6C5B117B5D
5D6CC40B7F,966F4D8365
7.92E+13,314BAF05A1
25CDB42E92,51A9BA9221
F2BB5F87C1,4A08BAB6D7
8272448F3C,1AC21DE09A
E585C298DB,F95009A248
6B0FF3F1A3,16792834C1
7D544F0F94,B795FACEFF
5DC8C1BEBF,264CFD5BF5
198FEFBCED,9BB4C5E46D
5EEC11E1E6,78C8242D8E
40B8B769E3,155FEBD048
2AE64FA99A,6ED7668DA3
37D9DADA52,18A638B556
101A2BBC5D,5DDA73E755
BBE8A06B2E,B03B17C6E3
F4E43CFB31,C69241A774
513383DF29,6ECE524BFB
C918EAD622,AEFEF5FC29
051B166609,49E5630880
C488EC09D6,F2B1CA7516
2B34997B28,96212CBFCC
4A947E3D82,67B7624FC6
45D7997B74,EEA98804CA
DAF68BB19B,6E850F2B9C
F20EF3E9F5,6D2FEA817B
251A70A141,3497885643
068179D701,B1733EAC3B
A9DC41F062,5A895A2914
7FC5E3AB58,8FC9F79020
4A26DB5580,E568320B74
BAFF3C060A,214C326717
8F8C8883BC,13DD7106A3
D00E1F7B12,681862C63C
F2EE79E885,DB621E74DC
D43F061397,A38278911A
35FA0D574C,0E60875191
F67D6BF929,B9DB95460C
A321557B54,766502AC0E
5262D45759,DF9A774A98
F355C41AE4,05ACF2CC68
2823023B2B,23F1A62A6B
478CC18AA4,C5EFA179A0
57A6D7B7C6,816F06761C
9A9D850088,D8936F8DF1
6B338E5120,AE001B96CF
18EE16855D,391CA56092
A646BFDAA0,3448D4DA63
7E32DA2CC9,6C5D68E275
4B233DD503,CDA2D844C5
F81D629F72,27E9D8728C
E96C1EF009,725D16FB54
C2EFFF4678,35B9B37DD2
E61CF1D4C1,2031380887
0A419CC9BB,48C6870DC2
28E1533963,3723B90EF2
692713BBE2,6E1299CE31
B12524A884,7229B9C46D
70C129223E,79920492BA
8F5DE5F447,4DA3B5D3C3
C4F3367617,2B34DA6CA9
F6184F9B2E,390CFCE059
366D63AF40,32105E379C
18FE575013,66928B4B98
7269846952,FDF924A348
677C6278AA,37B3405BAE
7C4209B3FF,9B1A3E03DF
7BE5137490,22F273C37B
6F000908A7,5FFC25222D
DE37BC402F,2B09B10DFC
0177B8E59A,EB263ED32C
BE9F0562DB,7B1D45FAD4
0D86B17BE1,BA59448AD0
107BE016DB,20F03ECAA6
ADE30DFDBE,A33B2BFA6C
AEA52086AA,384A5692E6
E0EDD6A141,5FE28D19FF
E5924E8DD9,AD62E7A58C
3B5DFCBE76,241190FE35
5C0D290D67,BED9058340
95AEE06191,373391CB48
14360F784A,66B65025B4
C7F0BC419E,F6A713F2D1
AA1A2A3774,D4AE301DB5
8D17D1B7A9,A35DBF483B
